region,income_bracket,caste_category,credit_score,approved,model_prediction
Urban,Low,SC,609.8886308198876,0,0
Rural,Low,OBC,698.3393592647799,0,0
Rural,Mid,OBC,633.6843116359083,0,0
Rural,Mid,General,629.5576635916971,0,0
Urban,Mid,ST,708.8621779541138,1,1
Rural,High,General,712.879150224855,1,1
Urban,Mid,OBC,754.1725457816898,1,1
Urban,High,SC,595.2187133329313,0,0
Urban,High,ST,665.3752076510755,1,1
Urban,Low,SC,671.9634436987898,1,1
Urban,Low,General,699.7609016221709,1,1
Urban,Mid,ST,653.4392597603236,1,1
Rural,Mid,General,637.5295805571835,0,0
Urban,High,SC,622.5003548954205,1,0
Urban,Low,OBC,716.858147554997,1,1
Urban,Mid,OBC,605.8029936848516,0,0
Urban,Mid,OBC,546.4634039564223,0,0
Urban,Mid,General,466.908086200074,0,0
Rural,Mid,OBC,539.9281965025722,0,0
Urban,Mid,SC,748.3841796780073,1,1
Urban,Low,General,730.2760388724248,1,1
Urban,Mid,General,729.8502257298264,1,1
Rural,Mid,General,750.6597829776956,1,1
Urban,Mid,SC,577.9054755394221,0,0
Rural,High,SC,556.9013151254364,0,0
Urban,Mid,SC,733.1192447028666,1,1
Urban,Mid,SC,603.3112118581788,0,0
Rural,Mid,OBC,669.1919659988208,0,0
Urban,Low,OBC,649.3466759399638,1,1
Urban,High,General,640.2189374902665,1,1
Rural,Low,General,686.847081012718,0,0
Urban,Mid,ST,694.0448874425053,1,1
Urban,High,ST,619.7972521183912,0,0
Rural,High,OBC,571.4786698235575,0,0
Rural,Low,SC,621.5481782047515,0,0
Urban,Mid,General,688.5103007856607,1,1
Urban,Low,General,680.4371480364242,1,1
Rural,Low,OBC,779.4585456885429,1,1
Urban,High,ST,500.16181404609205,0,0
Urban,Mid,SC,657.8356762641727,1,1
Urban,Low,OBC,683.5170702418642,1,1
Urban,High,General,605.734822535207,0,0
Urban,High,OBC,616.9835985897621,0,0
Urban,Mid,SC,565.8179938404323,0,0
Urban,High,OBC,604.8072988992604,0,0
Rural,Low,General,712.3764302046857,0,0
Urban,High,OBC,641.5632455505603,1,1
Urban,High,General,650.873337701457,1,1
Urban,Low,ST,625.2809468825051,1,1
Urban,Low,SC,642.5711242074213,1,1
Urban,Low,SC,824.2760794138854,1,1
Urban,Mid,OBC,577.9179548917124,0,0
Urban,High,SC,736.389673675994,1,1
Urban,Low,OBC,794.4703556533613,1,1
Rural,High,OBC,712.1735992551752,1,1
Urban,Mid,General,585.9608926429539,0,0
Urban,Low,ST,791.2674377372314,1,1
Rural,Mid,ST,717.2433591902575,1,1
Urban,Mid,OBC,654.5884544997192,1,1
Urban,Low,OBC,685.433456674485,1,1
Rural,Mid,SC,646.8097780326977,0,0
Urban,High,General,668.2801710546045,1,1
Rural,Mid,OBC,707.4997349219353,1,1
Rural,High,ST,678.8010827733262,1,1
Urban,Mid,ST,658.8038487982075,1,0
Urban,Mid,SC,574.7970904691836,0,0
Rural,Low,ST,679.0790019402632,0,0
Rural,Low,OBC,618.5364009166741,0,0
Urban,Mid,SC,692.1120302354713,1,1
Urban,Low,OBC,717.274178030161,1,1
Urban,Low,OBC,624.5336618403509,1,1
Urban,Mid,ST,695.7139721876702,1,1
Urban,Mid,OBC,596.7247606450821,0,0
Urban,Mid,SC,567.1909392251506,0,0
Urban,Low,General,646.9119786582213,1,1
Urban,Low,OBC,504.0038624500362,0,0
Urban,Low,ST,631.7985963230608,1,1
Rural,Low,General,616.352241925819,0,0
Urban,Low,SC,460.9942249670528,0,0
Urban,Mid,ST,629.7887003092264,1,0
Urban,Low,OBC,600.2044936005278,0,1
Urban,Mid,General,683.758054791769,1,1
Urban,Mid,SC,584.3042709218846,0,0
Rural,Mid,SC,614.8581649045486,0,0
Urban,Mid,ST,583.4277268861698,0,0
Rural,Mid,General,760.39200695098,1,1
Urban,High,General,703.3282495916858,1,1
Rural,High,General,642.2189527257949,0,0
Urban,Mid,OBC,652.486015396228,1,1
Rural,Low,General,527.8915439637799,0,0
Rural,Low,SC,727.8214753414613,1,1
Urban,Mid,OBC,690.538793114521,1,1
Urban,High,ST,679.1058875691708,1,1
Urban,Low,ST,588.7958680737909,0,0
Rural,Mid,SC,632.2698052470816,0,0
Urban,Mid,OBC,703.467918906264,1,1
Urban,High,SC,613.9861579726028,0,0
Rural,Mid,SC,640.4289485001984,0,0
Urban,High,SC,620.5251510449452,1,0
Urban,Mid,SC,633.2092177524397,1,0
Rural,Mid,SC,635.7596838856877,0,0
Rural,Low,General,696.8463575001623,0,0
Urban,Low,ST,587.1904680859367,0,0
Urban,Mid,General,614.8901326735453,0,0
